movie_title,title_year,searchterm
King Kong,2005,King Kong 2005 trailer
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe 2005 trailer"
Harry Potter and the Goblet of Fire,2005,Harry Potter and the Goblet of Fire 2005 trailer
Charlie and the Chocolate Factory,2005,Charlie and the Chocolate Factory 2005 trailer
Batman Begins,2005,Batman Begins 2005 trailer
Fun with Dick and Jane,2005,Fun with Dick and Jane 2005 trailer
Stealth,2005,Stealth 2005 trailer
Sahara,2005,Sahara 2005 trailer
War of the Worlds,2005,War of the Worlds 2005 trailer
Star Wars: Episode III - Revenge of the Sith,2005,Star Wars: Episode III - Revenge of the Sith 2005 trailer
Mr. & Mrs. Smith,2005,Mr. & Mrs. Smith 2005 trailer
Kingdom of Heaven,2005,Kingdom of Heaven 2005 trailer
The Island,2005,The Island 2005 trailer
Son of the Mask,2005,Son of the Mask 2005 trailer
The Interpreter,2005,The Interpreter 2005 trailer
Cinderella Man,2005,Cinderella Man 2005 trailer
Memoirs of a Geisha,2005,Memoirs of a Geisha 2005 trailer
The Longest Yard,2005,The Longest Yard 2005 trailer
Robots,2005,Robots 2005 trailer
The Legend of Zorro,2005,The Legend of Zorro 2005 trailer
The Brothers Grimm,2005,The Brothers Grimm 2005 trailer
A Sound of Thunder,2005,A Sound of Thunder 2005 trailer
Madagascar,2005,Madagascar 2005 trailer
Be Cool,2005,Be Cool 2005 trailer
Munich,2005,Munich 2005 trailer
Hostage,2005,Hostage 2005 trailer
Jarhead,2005,Jarhead 2005 trailer
Doom,2005,Doom 2005 trailer
Zathura: A Space Adventure,2005,Zathura: A Space Adventure 2005 trailer
Oliver Twist,2005,Oliver Twist 2005 trailer
Elektra,2005,Elektra 2005 trailer
Chicken Little,2005,Chicken Little 2005 trailer
Cheaper by the Dozen 2,2005,Cheaper by the Dozen 2 2005 trailer
Miss Congeniality 2: Armed and Fabulous,2005,Miss Congeniality 2: Armed and Fabulous 2005 trailer
xXx: State of the Union,2005,xXx: State of the Union 2005 trailer
Dark Water,2005,Dark Water 2005 trailer
The Great Raid,2005,The Great Raid 2005 trailer
Just Like Heaven,2005,Just Like Heaven 2005 trailer
The Pacifier,2005,The Pacifier 2005 trailer
Hitch,2005,Hitch 2005 trailer
Flightplan,2005,Flightplan 2005 trailer
̠on Flux,2005,̠on Flux 2005 trailer
Elizabethtown,2005,Elizabethtown 2005 trailer
The Dukes of Hazzard,2005,The Dukes of Hazzard 2005 trailer
The Ring Two,2005,The Ring Two 2005 trailer
V for Vendetta,2005,V for Vendetta 2005 trailer
Herbie Fully Loaded,2005,Herbie Fully Loaded 2005 trailer
Syriana,2005,Syriana 2005 trailer
The Adventures of Sharkboy and Lavagirl 3-D,2005,The Adventures of Sharkboy and Lavagirl 3-D 2005 trailer
Man of the House,2005,Man of the House 2005 trailer
Into the Blue,2005,Into the Blue 2005 trailer
Domino,2005,Domino 2005 trailer
Monster-in-Law,2005,Monster-in-Law 2005 trailer
Coach Carter,2005,Coach Carter 2005 trailer
Kicking & Screaming,2005,Kicking & Screaming 2005 trailer
The Hitchhiker's Guide to the Galaxy,2005,The Hitchhiker's Guide to the Galaxy 2005 trailer
The Producers,2005,The Producers 2005 trailer
Unleashed,2005,Unleashed 2005 trailer
Lord of War,2005,Lord of War 2005 trailer
Sin City,2005,Sin City 2005 trailer
The Skeleton Key,2005,The Skeleton Key 2005 trailer
Fever Pitch,2005,Fever Pitch 2005 trailer
Get Rich or Die Tryin',2005,Get Rich or Die Tryin' 2005 trailer
Rent,2005,Rent 2005 trailer
